"","X","First.Class","Business.Class","Economy.Class"
"190",190,1.146,1.726,21.449
"191",191,1.086,1.758,22.298
"192",192,1.134,1.883,21.056
"193",193,1.02,2.089,19.014
"194",194,1.022,2.198,19.511
"195",195,1.224,2.449,20.162
"196",196,0.895,1.739,21.158
"197",197,0.658,1.48,19.059
"198",198,0.977,2.152,21.972
"199",199,0.916,2.258,22.877
"200",200,0.83,1.776,22.19
"201",201,0.99,2.355,22.533
"202",202,0.77,2.14,20.682
"203",203,0.801,1.988,21.788
"204",204,0.839,2.083,21.299
"205",205,0.835,2.115,20.663
"206",206,0.802,1.884,21.948
"207",207,0.763,1.797,21.009
"208",208,0.77,1.944,20.443
"209",209,0.838,2.001,21.418
"210",210,0.742,1.668,23.273
"211",211,0.793,1.527,25.763
"212",212,0.9,1.477,26.045
"213",213,0.96,1.949,23.831
"214",214,0.8,1.914,22.742
"215",215,0.807,1.632,22.962
"216",216,0.841,1.796,25.253
"217",217,0.88,1.696,25.239
"218",218,0.818,1.718,27.387
"219",219,0.817,1.442,26.824
"220",220,0.819,1.713,27.294
"221",221,0.998,1.796,28.935
"222",222,1.22,1.86,31.642
"223",223,0.966,1.554,32.468
"224",224,0.895,1.623,27.673
"225",225,0.978,1.641,28.89
"226",226,0.913,1.818,26.465
"227",227,0.947,1.969,28.296
"228",228,1.002,1.886,29.274
"229",229,1.081,2.03,30.686
"230",230,0.977,1.883,29.786
"231",231,1.027,1.871,31.155
"232",232,0.895,1.91,28.459
"233",233,0.9,1.921,27.195
"234",234,0.762,1.672,26.274
"235",235,0.329,0.386,25.204
"236",236,0.351,0.446,24.434
"237",237,0.419,0.819,27.323
"238",238,0.618,1.238,27.303
"239",239,0.845,1.761,30.334
"240",240,0.727,1.65,26.833
"241",241,1.2,2.031,25.811
"242",242,1.801,2.064,27.238
"243",243,1.727,2.418,28.788
"244",244,1.992,2.171,27.263
"245",245,1.865,2.362,27.217
"246",246,1.801,2.328,26.41
"247",247,1.661,2.336,26.118
"248",248,2.366,10.301,18.642
"249",249,2.003,9.964,16.518
"250",250,2.092,10.433,17.276
"251",251,1.703,8.281,21.662
"252",252,1.337,6.128,20.473
"253",253,1.985,9.709,18.336
"254",254,1.808,8.828,17.018
"255",255,1.839,8.078,18.111
"256",256,1.714,7.527,18.41
"257",257,1.73,7.486,20.541
"258",258,1.725,6.711,21.408
"259",259,1.456,5.93,21.545
"260",260,1.447,5.462,21.732
"261",261,1.357,3.71,26.173
"262",262,1.28,2.894,27.432
"263",263,1.363,3.008,28.362
"264",264,1.228,2.829,29.827
"265",265,1.411,3.252,29.87
"266",266,1.13,3.021,26.534
"267",267,1.153,2.667,26.434
"268",268,1.257,2.74,26.137
"269",269,1.259,2.807,27.365
"270",270,1.153,2.961,27.91
"271",271,1.202,2.57,26.311
"272",272,1.185,2.671,27.538
"273",273,1.247,2.809,29.445
"274",274,1.434,2.712,28.326
"275",275,1.45,2.606,30.203
"276",276,1.227,2.5,27.838
"277",277,1.245,2.898,27.76
"278",278,1.417,3.152,27.322
"279",279,1.458,3.053,28.837
"280",280,1.398,2.745,26.548
"281",281,1.423,3.156,27.279
"282",282,1.358,3.069,27.306
"283",283,1.488,3.379,28.299
